date,latitude,longitude,aqi,pm25,pm10,no2,so2,co,station_id,city
2024-04-12,28.451055409504917,77.3218050502401,77,61.4,98.0,47.5,46.0,0.55,AQ_000,Delhi
2024-04-13,28.76350181698754,77.2194461124228,70,27.0,84.0,17.2,4.5,0.64,AQ_001,Delhi
2024-04-14,28.6563467747078,77.16918315626563,116,61.1,62.7,10.0,42.0,0.9,AQ_002,Delhi
2024-04-15,28.387955792912287,77.3484376704914,111,46.9,81.0,21.9,17.5,0.09,AQ_003,Delhi
2024-04-16,28.52710996220472,77.39812319038401,91,32.8,83.1,67.1,3.0,0.48,AQ_004,Delhi
2024-04-17,28.861615480564573,77.40961807384619,135,51.1,71.9,65.5,14.0,0.13,AQ_005,Delhi
2024-04-18,28.24989811349104,77.06045879660208,132,73.8,89.0,73.0,7.5,0.55,AQ_006,Delhi
2024-04-19,28.549563105671574,77.12883291879375,89,58.3,81.6,38.7,23.4,2.2,AQ_007,Delhi
2024-04-20,28.80379043880583,76.95377558578785,73,34.7,61.1,7.0,40.9,4.54,AQ_008,Delhi
2024-04-21,28.483888939660236,77.17321524726947,79,54.0,107.9,7.1,9.3,0.11,AQ_009,Delhi
2024-04-22,28.51206707725669,77.27141857217164,85,55.1,54.7,60.5,16.8,4.27,AQ_010,Delhi
2024-04-23,28.599693654659468,77.1890798238232,107,47.0,51.2,23.5,1.7,1.69,AQ_011,Delhi
2024-04-24,28.837608443918644,77.49862763005724,42,66.8,113.3,13.2,54.0,3.75,AQ_012,Delhi
2024-04-25,28.518064700497302,77.1481234937333,88,42.0,83.9,93.3,26.9,2.68,AQ_013,Delhi
2024-04-26,28.54730270605309,77.04572371667666,137,46.7,103.1,49.0,1.3,3.69,AQ_014,Delhi
2024-04-27,28.548747308657223,77.29427563100019,75,57.4,110.7,36.9,6.4,0.95,AQ_015,Delhi
2024-04-28,28.944789512408818,77.23149007427473,99,26.4,87.5,4.3,26.5,2.01,AQ_016,Delhi
2024-04-29,28.941917913346067,77.29144638937007,143,50.8,108.0,14.3,1.3,2.64,AQ_017,Delhi
2024-04-30,28.764508084681832,77.25456818961793,118,44.8,104.5,2.8,28.1,1.42,AQ_018,Delhi
2024-05-01,28.67182795987623,77.24556486407964,96,12.2,89.2,20.2,4.8,0.91,AQ_019,Delhi
2024-05-02,28.72450528638444,76.89065516754361,118,76.2,97.4,1.6,3.3,1.93,AQ_020,Delhi
2024-05-03,28.83750980422262,77.1000828958724,109,84.9,53.4,68.4,20.0,4.06,AQ_021,Delhi
2024-05-04,28.473524919739642,77.12045126230707,113,37.7,118.1,15.6,0.0,0.29,AQ_022,Delhi
2024-05-05,28.790274356717315,77.15680534930976,104,42.7,105.0,22.1,10.1,0.22,AQ_023,Delhi
2024-05-06,28.42581789983765,77.14174125423087,60,98.8,38.3,25.1,19.5,0.17,AQ_024,Delhi
2024-05-07,28.51823727463199,77.27092281425315,110,32.2,63.1,41.0,41.2,0.83,AQ_000,Delhi
2024-05-08,28.749965779370047,77.2991323763038,90,51.8,72.4,32.8,15.3,0.32,AQ_001,Delhi
2024-05-09,28.399597894966107,77.03925386098733,70,38.4,27.1,3.0,36.2,1.65,AQ_002,Delhi
2024-05-10,28.592889691971703,77.3120206610192,16,58.1,88.6,6.5,3.1,0.65,AQ_003,Delhi
2024-05-11,28.484636765621048,77.29686522080006,130,66.4,135.6,22.5,30.5,2.96,AQ_004,Delhi
2024-05-12,28.57555709442041,77.27886550990574,114,66.3,42.8,93.5,0.7,1.45,AQ_005,Delhi
2024-05-13,28.194111634180892,76.99631582679555,79,40.5,98.1,115.5,32.6,0.33,AQ_006,Delhi
2024-05-14,28.348170034323523,77.27508734504335,115,44.1,79.3,28.1,2.4,1.27,AQ_007,Delhi
2024-05-15,28.508918414810314,77.22138931293044,98,87.3,116.6,8.7,25.8,5.28,AQ_008,Delhi
