date,latitude,longitude,temperature_c,humidity_percent,rainfall_mm,wind_speed_kmh,pressure_hpa,visibility_km,station_id,city
2024-08-25,28.615837917014648,77.18924155871859,23.6,72.7,4.9,0.4,1047.0,11.2,WS_000,Delhi
2024-08-26,28.606457170571943,77.19291377453003,32.2,70.9,1.2,4.3,1018.3,6.9,WS_001,Delhi
2024-08-27,28.6316466809678,77.20902061529273,33.1,62.9,9.4,5.4,1018.9,11.0,WS_002,Delhi
2024-08-28,28.59962713537909,77.22236851981964,25.5,74.3,8.1,11.4,1025.4,11.2,WS_003,Delhi
2024-08-29,28.62638205626427,77.1741336189547,36.3,73.7,4.5,2.1,1018.5,14.3,WS_004,Delhi
2024-08-30,28.612373818159607,77.24523026997471,24.1,77.3,0.0,0.2,1019.9,14.6,WS_005,Delhi
2024-08-31,28.61685010417402,77.23880060685562,25.3,86.1,0.0,1.9,1025.8,10.9,WS_006,Delhi
2024-09-01,28.612431167018567,77.21077550878351,26.7,80.7,3.7,5.4,1013.7,11.4,WS_007,Delhi
2024-09-02,28.579383534831052,77.23194818667645,31.2,74.5,2.7,14.7,1017.9,17.2,WS_008,Delhi
2024-09-03,28.629009773819057,77.19429739850784,35.9,73.4,12.5,5.6,984.7,13.2,WS_009,Delhi
2024-09-04,28.59073031415795,77.18794980149484,23.4,91.7,0.3,11.0,976.1,15.2,WS_000,Delhi
2024-09-05,28.599782648331235,77.18933436125764,28.4,81.9,10.3,6.3,1009.9,11.6,WS_001,Delhi
2024-09-06,28.650017337741758,77.21631921513635,31.1,98.7,0.0,0.6,990.3,8.4,WS_002,Delhi
2024-09-07,28.63244479432777,77.20229366883804,20.7,82.1,0.0,1.1,993.5,10.9,WS_003,Delhi
2024-09-08,28.585581603603426,77.16271684543602,30.7,82.3,1.9,0.4,941.8,12.9,WS_004,Delhi
2024-09-09,28.589988338633148,77.23230573051815,24.4,73.9,6.0,9.5,1030.2,7.8,WS_005,Delhi
2024-09-10,28.600780332449204,77.20874458486699,27.4,85.9,0.4,2.1,999.8,12.8,WS_006,Delhi
2024-09-11,28.611136086957366,77.19735222589395,36.9,73.3,6.6,6.7,994.0,11.7,WS_007,Delhi
2024-09-12,28.59985701935366,77.2165031281896,34.4,73.8,1.3,14.5,1043.8,16.5,WS_008,Delhi
2024-09-13,28.60245499841783,77.21350353435642,22.3,85.0,13.5,4.6,1000.8,10.6,WS_009,Delhi
2024-09-14,28.604727909544852,77.21685561708527,38.8,77.5,2.8,6.0,1015.9,9.6,WS_000,Delhi
2024-09-15,28.570954782421307,77.21833751986826,26.4,70.8,9.1,4.3,1029.5,12.4,WS_001,Delhi
